Municipio;Depto;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
Raxruhá;Alta Verapaz;35,103;36,078;36,959;37,789;38,585;39,350;40,094;40,818;41,526;42,219;42,896;43,560;44,209;44,845;45,468;46,078;46,676;47,262;47,837;48,400;48,952
Flores;Petén;38,188;39,227;40,213;41,166;42,069;42,960;43,839;44,706;45,560;46,401;47,226;48,039;48,837;49,621;50,391;51,148;51,892;52,624;53,343;54,051;54,747
San José;Petén;6,852;6,917;6,976;7,034;7,088;7,143;7,202;7,261;7,323;7,385;7,449;7,513;7,579;7,645;7,712;7,779;7,847;7,915;7,983;8,052;8,121
San Benito;Petén;47,868;48,853;49,788;50,701;51,568;52,439;53,313;54,189;55,065;55,941;56,814;57,685;58,553;59,418;60,279;61,137;61,990;62,842;63,689;64,533;65,372
San Andrés;Petén;32,963;33,397;33,790;34,160;34,494;34,823;35,146;35,465;35,777;36,082;36,380;36,670;36,953;37,227;37,493;37,749;37,999;38,241;38,475;38,702;38,921
La Libertad;Petén;76,075;77,647;79,139;80,597;81,984;83,375;84,772;86,171;87,572;88,972;90,367;91,760;93,149;94,533;95,910;97,282;98,649;100,011;101,366;102,716;104,062
San Francisco;Petén;15,132;15,399;15,648;15,889;16,114;16,339;16,563;16,787;17,009;17,230;17,447;17,664;17,878;18,089;18,299;18,506;18,710;18,912;19,111;19,309;19,503
Santa Ana;Petén;21,238;21,718;22,178;22,630;23,063;23,499;23,939;24,380;24,824;25,269;25,715;26,161;26,608;27,056;27,502;27,949;28,396;28,844;29,291;29,739;30,186
Dolores;Petén;28,691;28,946;29,178;29,406;29,616;29,836;30,065;30,302;30,546;30,795;31,049;31,309;31,571;31,837;32,107;32,378;32,652;32,928;33,206;33,486;33,767
San Luis;Petén;72,377;73,268;74,066;74,813;75,476;76,128;76,768;77,395;78,007;78,604;79,180;79,739;80,281;80,802;81,305;81,788;82,253;82,700;83,129;83,542;83,935
Sayaxché;Petén;89,557;91,192;92,726;94,212;95,608;97,002;98,397;99,787;101,171;102,547;103,912;105,266;106,610;107,939;109,256;110,560;111,851;113,132;114,397;115,651;116,891
Melchor de Mencos;Petén;28,157;28,580;28,969;29,339;29,680;30,018;30,352;30,682;31,009;31,331;31,647;31,958;32,263;32,562;32,855;33,141;33,421;33,696;33,964;34,227;34,484
Poptún;Petén;59,162;60,798;62,351;63,854;65,278;66,682;68,069;69,437;70,784;72,109;73,411;74,692;75,950;77,186;78,399;79,591;80,763;81,915;83,047;84,161;85,256
Las Cruces;Petén;34,597;35,311;35,990;36,652;37,283;37,915;38,551;39,188;39,824;40,460;41,095;41,729;42,361;42,989;43,616;44,240;44,861;45,481;46,097;46,712;47,322
El Chal;Petén;14,728;14,858;14,978;15,095;15,204;15,316;15,433;15,555;15,680;15,808;15,939;16,072;16,207;16,344;16,481;16,621;16,761;16,904;17,046;17,189;17,334
Puerto Barrios;Izabal;102,777;104,084;105,399;106,744;108,136;109,502;110,846;112,163;113,450;114,711;115,942;117,139;118,311;119,449;120,559;121,639;122,692;123,714;124,710;125,678;126,622
Livingston;Izabal;73,849;74,883;75,925;76,990;78,092;79,178;80,249;81,304;82,339;83,357;84,355;85,332;86,290;87,227;88,145;89,043;89,922;90,780;91,619;92,442;93,246
El Estor;Izabal;74,849;76,076;77,316;78,586;79,898;81,199;82,491;83,771;85,035;86,288;87,526;88,744;89,950;91,138;92,310;93,466;94,608;95,733;96,842;97,936;99,016
Morales;Izabal;98,533;99,964;101,406;102,882;104,407;105,913;107,400;108,867;110,310;111,730;113,125;114,491;115,836;117,152;118,444;119,710;120,953;122,167;123,359;124,528;125,674
Los Amates;Izabal;61,031;61,682;62,386;63,133;63,922;64,703;65,475;66,233;66,973;67,699;68,406;69,094;69,765;70,417;71,051;71,667;72,266;72,847;73,411;73,958;74,491
Zacapa;Zacapa;61,808;62,564;63,319;64,064;64,854;65,641;66,423;67,201;67,974;68,738;69,494;70,239;70,975;71,699;72,415;73,118;73,810;74,491;75,159;75,819;76,467
Estanzuela;Zacapa;10,847;10,833;10,826;10,824;10,835;10,851;10,872;10,896;10,925;10,957;10,991;11,026;11,065;11,104;11,145;11,188;11,231;11,275;11,319;11,364;11,410
Río Hondo;Zacapa;21,145;21,507;21,871;22,234;22,615;22,999;23,384;23,771;24,159;24,547;24,936;25,323;25,710;26,095;26,481;26,865;27,248;27,630;28,010;28,390;28,768
Gualán;Zacapa;47,500;47,868;48,233;48,584;48,966;49,341;49,709;50,070;50,421;50,763;51,095;51,415;51,723;52,021;52,308;52,582;52,846;53,097;53,336;53,566;53,786
Teculután;Zacapa;18,702;18,958;19,214;19,468;19,736;20,005;20,272;20,539;20,805;21,070;21,331;21,591;21,849;22,103;22,356;22,606;22,852;23,097;23,336;23,576;23,812
Usumatlán;Zacapa;12,079;12,292;12,496;12,688;12,882;13,067;13,245;13,417;13,584;13,743;13,898;14,046;14,189;14,327;14,461;14,590;14,716;14,837;14,954;15,068;15,178
Cabañas;Zacapa;13,790;13,958;14,126;14,292;14,467;14,642;14,817;14,990;15,161;15,331;15,499;15,665;15,829;15,990;16,149;16,305;16,459;16,611;16,759;16,906;17,050
San Diego;Zacapa;7,290;7,362;7,434;7,505;7,581;7,657;7,732;7,807;7,882;7,956;8,028;8,098;8,168;8,237;8,305;8,371;8,435;8,497;8,559;8,619;8,678
La Unión;Zacapa;36,931;37,190;37,445;37,688;37,956;38,218;38,473;38,722;38,964;39,198;39,425;39,641;39,849;40,046;40,236;40,416;40,588;40,750;40,902;41,047;41,184
Huité;Zacapa;11,480;11,570;11,659;11,746;11,839;11,931;12,021;12,110;12,197;12,281;12,362;12,441;12,517;12,591;12,662;12,730;12,795;12,858;12,917;12,975;13,029
San Jorge;Zacapa;12,586;12,740;12,894;13,045;13,206;13,366;13,525;13,684;13,841;13,997;14,151;14,303;14,452;14,600;14,746;14,889;15,030;15,169;15,304;15,439;15,571
Chiquimula;Chiquimula;107,907;109,712;111,519;113,337;115,108;116,874;118,635;120,384;122,122;123,844;125,549;127,235;128,902;130,551;132,182;133,792;135,385;136,959;138,515;140,051;141,572
San José La Arada;Chiquimula;8,614;8,710;8,805;8,899;8,990;9,078;9,165;9,249;9,331;9,412;9,489;9,564;9,637;9,707;9,775;9,841;9,904;9,964;10,023;10,079;10,133
San Juan Ermita;Chiquimula;16,328;16,676;17,024;17,376;17,719;18,064;18,407;18,751;19,092;19,430;19,767;20,101;20,431;20,759;21,083;21,404;21,722;22,036;22,347;22,655;22,959
Jocotán;Chiquimula;66,557;67,842;69,134;70,439;71,722;73,006;74,293;75,578;76,863;78,144;79,418;80,687;81,949;83,206;84,457;85,699;86,936;88,167;89,392;90,608;91,820
Camotán;Chiquimula;57,580;58,242;58,895;59,547;60,167;60,775;61,374;61,958;62,528;63,084;63,624;64,146;64,653;65,142;65,616;66,074;66,517;66,944;67,356;67,753;68,136
Olopa;Chiquimula;27,868;28,233;28,615;29,007;29,391;29,775;30,156;30,534;30,908;31,276;31,638;31,995;32,344;32,688;33,026;33,356;33,681;34,000;34,313;34,619;34,921
Esquipulas;Chiquimula;52,498;53,148;53,792;54,436;55,050;55,655;56,253;56,839;57,412;57,974;58,521;59,053;59,572;60,077;60,568;61,045;61,508;61,957;62,395;62,818;63,230
Concepción Las Minas;Chiquimula;12,125;12,205;12,283;12,360;12,428;12,495;12,557;12,615;12,671;12,722;12,770;12,813;12,852;12,888;12,919;12,947;12,972;12,993;13,010;13,024;13,035
Quezaltepeque;Chiquimula;27,288;27,704;28,119;28,536;28,940;29,341;29,740;30,136;30,527;30,913;31,292;31,668;32,036;32,399;32,757;33,109;33,455;33,795;34,131;34,460;34,785
San Jacinto;Chiquimula;12,377;12,528;12,678;12,826;12,969;13,109;13,247;13,381;13,513;13,643;13,770;13,891;14,011;14,127;14,239;14,348;14,454;14,557;14,657;14,754;14,847
Ipala;Chiquimula;21,808;22,133;22,456;22,781;23,095;23,407;23,717;24,024;24,327;24,625;24,919;25,209;25,493;25,773;26,049;26,319;26,585;26,846;27,102;27,354;27,602
Jalapa;Jalapa;172,722;175,654;178,562;181,460;184,350;187,189;189,965;192,676;195,321;197,894;200,396;202,833;205,193;207,489;209,716;211,874;213,971;216,006;217,978;219,889;221,747
San Pedro Pinula;Jalapa;68,442;69,847;71,253;72,663;74,079;75,483;76,872;78,244;79,597;80,930;82,242;83,536;84,807;86,059;87,289;88,500;89,694;90,868;92,023;93,160;94,281
San Luis Jilotepeque;Jalapa;23,698;24,157;24,615;25,073;25,532;25,986;26,434;26,874;27,307;27,733;28,149;28,560;28,961;29,355;29,741;30,119;30,489;30,853;31,209;31,559;31,902
San Manuel Chaparrón;Jalapa;8,262;8,390;8,516;8,642;8,767;8,890;9,009;9,126;9,239;9,348;9,455;9,558;9,658;9,754;9,848;9,937;10,025;10,110;10,191;10,270;10,346
San Carlos Alzatate;Jalapa;19,514;19,867;20,218;20,569;20,920;21,265;21,605;21,938;22,264;22,583;22,895;23,200;23,495;23,786;24,068;24,345;24,614;24,876;25,133;25,383;25,627
Monjas;Jalapa;26,304;27,003;27,708;28,422;29,146;29,874;30,602;31,330;32,058;32,787;33,512;34,239;34,963;35,686;36,408;37,128;37,848;38,567;39,284;40,000;40,717
Mataquescuintla;Jalapa;41,152;42,026;42,902;43,783;44,668;45,547;46,418;47,280;48,132;48,972;49,802;50,621;51,428;52,224;53,009;53,782;54,546;55,299;56,042;56,775;57,499
Jutiapa;Jutiapa;153,973;155,866;157,773;159,684;161,584;163,444;165,266;167,049;168,787;170,481;172,134;173,744;175,308;176,829;178,312;179,749;181,149;182,511;183,830;185,117;186,366
El Progreso;Jutiapa;23,401;23,749;24,100;24,452;24,806;25,155;25,499;25,839;26,174;26,503;26,828;27,148;27,460;27,768;28,072;28,370;28,662;28,950;29,234;29,512;29,786
Santa Catarina Mita;Jutiapa;28,396;28,863;29,337;29,816;30,296;30,771;31,242;31,709;32,172;32,629;33,081;33,527;33,970;34,405;34,837;35,262;35,683;36,099;36,510;36,916;37,319
Agua Blanca;Jutiapa;16,113;16,348;16,584;16,823;17,062;17,298;17,533;17,765;17,993;18,219;18,442;18,663;18,879;19,093;19,304;19,513;19,719;19,923;20,124;20,324;20,520
Asunción Mita;Jutiapa;46,912;47,844;48,770;49,684;50,584;51,461;52,313;53,141;53,944;54,720;55,473;56,200;56,902;57,579;58,233;58,862;59,469;60,054;60,615;61,157;61,678
Yupiltepeque;Jutiapa;17,203;17,334;17,476;17,628;17,785;17,943;18,103;18,262;18,419;18,575;18,728;18,878;19,023;19,166;19,306;19,441;19,573;19,701;19,825;19,946;20,063
Atescatempa;Jutiapa;18,097;18,372;18,650;18,930;19,211;19,489;19,762;20,033;20,300;20,563;20,822;21,077;21,329;21,576;21,820;22,059;22,295;22,527;22,756;22,980;23,202
Jerez;Jutiapa;6,188;6,287;6,388;6,490;6,594;6,697;6,800;6,903;7,006;7,107;7,210;7,312;7,414;7,515;7,617;7,718;7,820;7,923;8,024;8,127;8,230
El Adelanto;Jutiapa;7,894;7,968;8,043;8,117;8,190;8,260;8,329;8,394;8,457;8,518;8,575;8,631;8,683;8,734;8,782;8,828;8,871;8,911;8,950;8,987;9,022
Zapotitlán;Jutiapa;9,684;9,812;9,941;10,071;10,200;10,326;10,451;10,573;10,693;10,810;10,925;11,037;11,147;11,254;11,358;11,460;11,560;11,658;11,753;11,846;11,937
Comapa;Jutiapa;34,652;34,986;35,347;35,722;36,104;36,482;36,853;37,218;37,572;37,917;38,253;38,579;38,894;39,200;39,497;39,783;40,060;40,328;40,587;40,838;41,079
Jalpatagua;Jutiapa;29,894;30,103;30,331;30,575;30,828;31,084;31,342;31,601;31,858;32,112;32,363;32,611;32,853;33,088;33,321;33,546;33,767;33,982;34,191;34,393;34,591
Conguaco;Jutiapa;27,022;27,430;27,842;28,257;28,672;29,082;29,487;29,887;30,281;30,669;31,053;31,429;31,799;32,164;32,522;32,875;33,222;33,564;33,899;34,231;34,556
Moyuta;Jutiapa;48,886;49,175;49,464;49,747;50,022;50,280;50,520;50,742;50,947;51,134;51,303;51,456;51,591;51,709;51,813;51,900;51,973;52,032;52,076;52,108;52,128
Pasaco;Jutiapa;10,535;10,638;10,740;10,843;10,945;11,042;11,137;11,229;11,318;11,402;11,484;11,562;11,636;11,708;11,777;11,842;11,904;11,964;12,020;12,074;12,124
San José Acatempa;Jutiapa;13,308;13,399;13,492;13,585;13,677;13,767;13,854;13,938;14,017;14,095;14,169;14,240;14,309;14,373;14,436;14,495;14,552;14,606;14,658;14,707;14,755
Quesada;Jutiapa;22,487;22,655;22,836;23,027;23,225;23,424;23,623;23,822;24,020;24,214;24,406;24,595;24,779;24,960;25,136;25,308;25,475;25,638;25,796;25,950;26,099
