Municipio;Depto;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
San Juan Ostuncalco;Quetzaltenango;59,311;59,541;59,813;60,118;60,447;60,791;61,148;61,517;61,896;62,282;62,674;63,071;63,472;63,877;64,282;64,689;65,097;65,504;65,910;66,315;66,719
San Mateo;Quetzaltenango;7,682;7,927;8,141;8,329;8,500;8,658;8,806;8,946;9,081;9,209;9,334;9,456;9,573;9,687;9,798;9,906;10,011;10,114;10,215;10,312;10,407
Concepción Chiquirichapa;Quetzaltenango;18,499;18,848;19,199;19,551;19,900;20,245;20,585;20,920;21,249;21,573;21,891;22,203;22,510;22,811;23,106;23,396;23,680;23,958;24,231;24,499;24,762
San Martín Sacatepéquez;Quetzaltenango;30,040;30,586;31,136;31,686;32,232;32,771;33,303;33,826;34,341;34,847;35,345;35,832;36,311;36,782;37,244;37,696;38,140;38,577;39,005;39,426;39,839
Almolonga;Quetzaltenango;15,087;15,402;15,721;16,042;16,362;16,679;16,993;17,305;17,613;17,918;18,219;18,517;18,811;19,101;19,387;19,670;19,949;20,225;20,497;20,765;21,031
Cantel;Quetzaltenango;39,421;40,736;41,969;43,126;44,212;45,229;46,186;47,087;47,941;48,751;49,521;50,256;50,959;51,634;52,281;52,904;53,505;54,085;54,645;55,188;55,714
Huitán;Quetzaltenango;13,952;14,022;14,120;14,239;14,374;14,522;14,677;14,839;15,006;15,175;15,345;15,516;15,686;15,854;16,022;16,187;16,349;16,508;16,665;16,819;16,970
Zunil;Quetzaltenango;13,954;14,300;14,610;14,895;15,161;15,414;15,657;15,893;16,121;16,344;16,560;16,772;16,978;17,180;17,376;17,567;17,754;17,936;18,113;18,286;18,453
Colomba Costa Cuca;Quetzaltenango;53,017;53,331;53,733;54,206;54,730;55,290;55,878;56,487;57,111;57,743;58,380;59,018;59,654;60,287;60,913;61,531;62,140;62,740;63,329;63,907;64,475
San Francisco La Unión;Quetzaltenango;8,509;8,689;8,865;9,035;9,201;9,361;9,516;9,666;9,812;9,953;10,090;10,222;10,352;10,477;10,598;10,717;10,832;10,944;11,053;11,160;11,263
El Palmar;Quetzaltenango;29,115;29,477;29,849;30,225;30,600;30,973;31,342;31,706;32,065;32,419;32,767;33,110;33,446;33,776;34,100;34,417;34,729;35,034;35,333;35,625;35,913
Coatepeque;Quetzaltenango;110,644;111,781;113,091;114,522;116,029;117,579;119,152;120,737;122,321;123,894;125,450;126,985;128,495;129,980;131,433;132,856;134,247;135,607;136,935;138,232;139,498
Génova;Quetzaltenango;42,336;42,882;43,444;44,015;44,590;45,162;45,731;46,294;46,852;47,403;47,945;48,480;49,006;49,522;50,030;50,527;51,015;51,494;51,962;52,422;52,871
Flores Costa Cuca;Quetzaltenango;21,312;21,806;22,309;22,820;23,335;23,851;24,369;24,888;25,408;25,929;26,452;26,976;27,501;28,028;28,556;29,087;29,619;30,155;30,693;31,234;31,779
La Esperanza;Quetzaltenango;21,878;22,446;22,938;23,385;23,802;24,199;24,579;24,948;25,307;25,657;25,997;26,329;26,652;26,969;27,276;27,577;27,870;28,154;28,433;28,704;28,968
